date,day_of_week,month,quarter,is_weekend,season
2025-01-01,Wednesday,1,1,0,Winter
2025-01-02,Thursday,1,1,0,Winter
2025-01-03,Friday,1,1,0,Winter
2025-01-04,Saturday,1,1,1,Winter
2025-01-05,Sunday,1,1,1,Winter
2025-01-06,Monday,1,1,0,Winter
2025-01-07,Tuesday,1,1,0,Winter
2025-01-08,Wednesday,1,1,0,Winter
2025-01-09,Thursday,1,1,0,Winter
2025-01-10,Friday,1,1,0,Winter
2025-01-11,Saturday,1,1,1,Winter
2025-01-12,Sunday,1,1,1,Winter
2025-01-13,Monday,1,1,0,Winter
2025-01-14,Tuesday,1,1,0,Winter
2025-01-15,Wednesday,1,1,0,Winter
2025-01-16,Thursday,1,1,0,Winter
2025-01-17,Friday,1,1,0,Winter
2025-01-18,Saturday,1,1,1,Winter
2025-01-19,Sunday,1,1,1,Winter
2025-01-20,Monday,1,1,0,Winter
2025-01-21,Tuesday,1,1,0,Winter
2025-01-22,Wednesday,1,1,0,Winter
2025-01-23,Thursday,1,1,0,Winter
2025-01-24,Friday,1,1,0,Winter
2025-01-25,Saturday,1,1,1,Winter
2025-01-26,Sunday,1,1,1,Winter
2025-01-27,Monday,1,1,0,Winter
2025-01-28,Tuesday,1,1,0,Winter
2025-01-29,Wednesday,1,1,0,Winter
2025-01-30,Thursday,1,1,0,Winter
2025-01-31,Friday,1,1,0,Winter
2025-02-01,Saturday,2,1,1,Winter
2025-02-02,Sunday,2,1,1,Winter
2025-02-03,Monday,2,1,0,Winter
2025-02-04,Tuesday,2,1,0,Winter
2025-02-05,Wednesday,2,1,0,Winter
2025-02-06,Thursday,2,1,0,Winter
2025-02-07,Friday,2,1,0,Winter
2025-02-08,Saturday,2,1,1,Winter
2025-02-09,Sunday,2,1,1,Winter
2025-02-10,Monday,2,1,0,Winter
2025-02-11,Tuesday,2,1,0,Winter
2025-02-12,Wednesday,2,1,0,Winter
2025-02-13,Thursday,2,1,0,Winter
2025-02-14,Friday,2,1,0,Winter
2025-02-15,Saturday,2,1,1,Winter
2025-02-16,Sunday,2,1,1,Winter
2025-02-17,Monday,2,1,0,Winter
2025-02-18,Tuesday,2,1,0,Winter
2025-02-19,Wednesday,2,1,0,Winter
2025-02-20,Thursday,2,1,0,Winter
2025-02-21,Friday,2,1,0,Winter
2025-02-22,Saturday,2,1,1,Winter
2025-02-23,Sunday,2,1,1,Winter
2025-02-24,Monday,2,1,0,Winter
2025-02-25,Tuesday,2,1,0,Winter
2025-02-26,Wednesday,2,1,0,Winter
2025-02-27,Thursday,2,1,0,Winter
2025-02-28,Friday,2,1,0,Winter
2025-03-01,Saturday,3,1,1,Spring
2025-03-02,Sunday,3,1,1,Spring
2025-03-03,Monday,3,1,0,Spring
2025-03-04,Tuesday,3,1,0,Spring
2025-03-05,Wednesday,3,1,0,Spring
2025-03-06,Thursday,3,1,0,Spring
2025-03-07,Friday,3,1,0,Spring
2025-03-08,Saturday,3,1,1,Spring
2025-03-09,Sunday,3,1,1,Spring
2025-03-10,Monday,3,1,0,Spring
2025-03-11,Tuesday,3,1,0,Spring
2025-03-12,Wednesday,3,1,0,Spring
2025-03-13,Thursday,3,1,0,Spring
2025-03-14,Friday,3,1,0,Spring
2025-03-15,Saturday,3,1,1,Spring
2025-03-16,Sunday,3,1,1,Spring
2025-03-17,Monday,3,1,0,Spring
2025-03-18,Tuesday,3,1,0,Spring
2025-03-19,Wednesday,3,1,0,Spring
2025-03-20,Thursday,3,1,0,Spring
2025-03-21,Friday,3,1,0,Spring
2025-03-22,Saturday,3,1,1,Spring
2025-03-23,Sunday,3,1,1,Spring
2025-03-24,Monday,3,1,0,Spring
2025-03-25,Tuesday,3,1,0,Spring
2025-03-26,Wednesday,3,1,0,Spring
2025-03-27,Thursday,3,1,0,Spring
2025-03-28,Friday,3,1,0,Spring
2025-03-29,Saturday,3,1,1,Spring
2025-03-30,Sunday,3,1,1,Spring
2025-03-31,Monday,3,1,0,Spring
2025-04-01,Tuesday,4,2,0,Spring
2025-04-02,Wednesday,4,2,0,Spring
2025-04-03,Thursday,4,2,0,Spring
2025-04-04,Friday,4,2,0,Spring
2025-04-05,Saturday,4,2,1,Spring
2025-04-06,Sunday,4,2,1,Spring
2025-04-07,Monday,4,2,0,Spring
2025-04-08,Tuesday,4,2,0,Spring
2025-04-09,Wednesday,4,2,0,Spring
2025-04-10,Thursday,4,2,0,Spring
2025-04-11,Friday,4,2,0,Spring
2025-04-12,Saturday,4,2,1,Spring
2025-04-13,Sunday,4,2,1,Spring
2025-04-14,Monday,4,2,0,Spring
2025-04-15,Tuesday,4,2,0,Spring
2025-04-16,Wednesday,4,2,0,Spring
2025-04-17,Thursday,4,2,0,Spring
2025-04-18,Friday,4,2,0,Spring
2025-04-19,Saturday,4,2,1,Spring
2025-04-20,Sunday,4,2,1,Spring
2025-04-21,Monday,4,2,0,Spring
2025-04-22,Tuesday,4,2,0,Spring
2025-04-23,Wednesday,4,2,0,Spring
2025-04-24,Thursday,4,2,0,Spring
2025-04-25,Friday,4,2,0,Spring
2025-04-26,Saturday,4,2,1,Spring
2025-04-27,Sunday,4,2,1,Spring
2025-04-28,Monday,4,2,0,Spring
2025-04-29,Tuesday,4,2,0,Spring
2025-04-30,Wednesday,4,2,0,Spring
2025-05-01,Thursday,5,2,0,Spring
2025-05-02,Friday,5,2,0,Spring
2025-05-03,Saturday,5,2,1,Spring
2025-05-04,Sunday,5,2,1,Spring
2025-05-05,Monday,5,2,0,Spring
2025-05-06,Tuesday,5,2,0,Spring
2025-05-07,Wednesday,5,2,0,Spring
2025-05-08,Thursday,5,2,0,Spring
2025-05-09,Friday,5,2,0,Spring
2025-05-10,Saturday,5,2,1,Spring
2025-05-11,Sunday,5,2,1,Spring
2025-05-12,Monday,5,2,0,Spring
2025-05-13,Tuesday,5,2,0,Spring
2025-05-14,Wednesday,5,2,0,Spring
2025-05-15,Thursday,5,2,0,Spring
2025-05-16,Friday,5,2,0,Spring
2025-05-17,Saturday,5,2,1,Spring
2025-05-18,Sunday,5,2,1,Spring
2025-05-19,Monday,5,2,0,Spring
2025-05-20,Tuesday,5,2,0,Spring
2025-05-21,Wednesday,5,2,0,Spring
2025-05-22,Thursday,5,2,0,Spring
2025-05-23,Friday,5,2,0,Spring
2025-05-24,Saturday,5,2,1,Spring
2025-05-25,Sunday,5,2,1,Spring
2025-05-26,Monday,5,2,0,Spring
2025-05-27,Tuesday,5,2,0,Spring
2025-05-28,Wednesday,5,2,0,Spring
2025-05-29,Thursday,5,2,0,Spring
2025-05-30,Friday,5,2,0,Spring
2025-05-31,Saturday,5,2,1,Spring
2025-06-01,Sunday,6,2,1,Summer
2025-06-02,Monday,6,2,0,Summer
2025-06-03,Tuesday,6,2,0,Summer
2025-06-04,Wednesday,6,2,0,Summer
2025-06-05,Thursday,6,2,0,Summer
2025-06-06,Friday,6,2,0,Summer
2025-06-07,Saturday,6,2,1,Summer
2025-06-08,Sunday,6,2,1,Summer
2025-06-09,Monday,6,2,0,Summer
2025-06-10,Tuesday,6,2,0,Summer
2025-06-11,Wednesday,6,2,0,Summer
2025-06-12,Thursday,6,2,0,Summer
2025-06-13,Friday,6,2,0,Summer
2025-06-14,Saturday,6,2,1,Summer
2025-06-15,Sunday,6,2,1,Summer
2025-06-16,Monday,6,2,0,Summer
2025-06-17,Tuesday,6,2,0,Summer
2025-06-18,Wednesday,6,2,0,Summer
2025-06-19,Thursday,6,2,0,Summer
2025-06-20,Friday,6,2,0,Summer
2025-06-21,Saturday,6,2,1,Summer
2025-06-22,Sunday,6,2,1,Summer
2025-06-23,Monday,6,2,0,Summer
2025-06-24,Tuesday,6,2,0,Summer
2025-06-25,Wednesday,6,2,0,Summer
2025-06-26,Thursday,6,2,0,Summer
2025-06-27,Friday,6,2,0,Summer
2025-06-28,Saturday,6,2,1,Summer
2025-06-29,Sunday,6,2,1,Summer
2025-06-30,Monday,6,2,0,Summer
2025-07-01,Tuesday,7,3,0,Summer
2025-07-02,Wednesday,7,3,0,Summer
2025-07-03,Thursday,7,3,0,Summer
2025-07-04,Friday,7,3,0,Summer
2025-07-05,Saturday,7,3,1,Summer
2025-07-06,Sunday,7,3,1,Summer
2025-07-07,Monday,7,3,0,Summer
2025-07-08,Tuesday,7,3,0,Summer
2025-07-09,Wednesday,7,3,0,Summer
2025-07-10,Thursday,7,3,0,Summer
2025-07-11,Friday,7,3,0,Summer
2025-07-12,Saturday,7,3,1,Summer
2025-07-13,Sunday,7,3,1,Summer
2025-07-14,Monday,7,3,0,Summer
2025-07-15,Tuesday,7,3,0,Summer
2025-07-16,Wednesday,7,3,0,Summer
2025-07-17,Thursday,7,3,0,Summer
2025-07-18,Friday,7,3,0,Summer
2025-07-19,Saturday,7,3,1,Summer
2025-07-20,Sunday,7,3,1,Summer
2025-07-21,Monday,7,3,0,Summer
2025-07-22,Tuesday,7,3,0,Summer
2025-07-23,Wednesday,7,3,0,Summer
2025-07-24,Thursday,7,3,0,Summer
2025-07-25,Friday,7,3,0,Summer
2025-07-26,Saturday,7,3,1,Summer
2025-07-27,Sunday,7,3,1,Summer
2025-07-28,Monday,7,3,0,Summer
2025-07-29,Tuesday,7,3,0,Summer
2025-07-30,Wednesday,7,3,0,Summer
2025-07-31,Thursday,7,3,0,Summer
2025-08-01,Friday,8,3,0,Summer
2025-08-02,Saturday,8,3,1,Summer
2025-08-03,Sunday,8,3,1,Summer
2025-08-04,Monday,8,3,0,Summer
2025-08-05,Tuesday,8,3,0,Summer
2025-08-06,Wednesday,8,3,0,Summer
2025-08-07,Thursday,8,3,0,Summer
2025-08-08,Friday,8,3,0,Summer
2025-08-09,Saturday,8,3,1,Summer
2025-08-10,Sunday,8,3,1,Summer
2025-08-11,Monday,8,3,0,Summer
2025-08-12,Tuesday,8,3,0,Summer
2025-08-13,Wednesday,8,3,0,Summer
2025-08-14,Thursday,8,3,0,Summer
2025-08-15,Friday,8,3,0,Summer
2025-08-16,Saturday,8,3,1,Summer
2025-08-17,Sunday,8,3,1,Summer
2025-08-18,Monday,8,3,0,Summer
2025-08-19,Tuesday,8,3,0,Summer
2025-08-20,Wednesday,8,3,0,Summer
2025-08-21,Thursday,8,3,0,Summer
2025-08-22,Friday,8,3,0,Summer
2025-08-23,Saturday,8,3,1,Summer
2025-08-24,Sunday,8,3,1,Summer
2025-08-25,Monday,8,3,0,Summer
2025-08-26,Tuesday,8,3,0,Summer
2025-08-27,Wednesday,8,3,0,Summer
2025-08-28,Thursday,8,3,0,Summer
2025-08-29,Friday,8,3,0,Summer
2025-08-30,Saturday,8,3,1,Summer
2025-08-31,Sunday,8,3,1,Summer
2025-09-01,Monday,9,3,0,Autumn
2025-09-02,Tuesday,9,3,0,Autumn
2025-09-03,Wednesday,9,3,0,Autumn
2025-09-04,Thursday,9,3,0,Autumn
2025-09-05,Friday,9,3,0,Autumn
2025-09-06,Saturday,9,3,1,Autumn
2025-09-07,Sunday,9,3,1,Autumn
2025-09-08,Monday,9,3,0,Autumn
2025-09-09,Tuesday,9,3,0,Autumn
2025-09-10,Wednesday,9,3,0,Autumn
2025-09-11,Thursday,9,3,0,Autumn
2025-09-12,Friday,9,3,0,Autumn
2025-09-13,Saturday,9,3,1,Autumn
2025-09-14,Sunday,9,3,1,Autumn
2025-09-15,Monday,9,3,0,Autumn
2025-09-16,Tuesday,9,3,0,Autumn
2025-09-17,Wednesday,9,3,0,Autumn
2025-09-18,Thursday,9,3,0,Autumn
2025-09-19,Friday,9,3,0,Autumn
2025-09-20,Saturday,9,3,1,Autumn
2025-09-21,Sunday,9,3,1,Autumn
2025-09-22,Monday,9,3,0,Autumn
2025-09-23,Tuesday,9,3,0,Autumn
2025-09-24,Wednesday,9,3,0,Autumn
2025-09-25,Thursday,9,3,0,Autumn
