product_id,date,competitor_a_price,competitor_b_price,competitor_c_price,competitor_avg_price
P0001,2025-01-01,6499.34,7225.78,6842.51,6855.88
P0001,2025-01-08,6140.89,7353.47,7662.39,7052.25
P0001,2025-01-15,6740.87,6232.24,6917.27,6630.13
P0001,2025-01-22,6097.8,7485.91,7125.0,6902.9
P0001,2025-01-29,6864.09,6397.13,7344.47,6868.56
P0001,2025-02-05,7240.34,7208.95,7037.75,7162.35
P0001,2025-02-12,6594.91,7069.83,6450.51,6705.08
P0001,2025-02-19,6116.36,6973.48,7546.53,6878.79
P0001,2025-02-26,6837.25,6397.38,7210.49,6815.04
P0001,2025-03-05,6379.96,6866.95,7132.67,6793.19
P0001,2025-03-12,6265.74,6214.13,6824.36,6434.74
P0001,2025-03-19,6575.25,7211.99,7441.03,7076.09
P0001,2025-03-26,6326.7,6764.7,7478.73,6856.71
P0001,2025-04-02,6150.27,6528.82,7268.33,6649.14
P0001,2025-04-09,6792.38,7101.21,7029.52,6974.37
P0001,2025-04-16,6149.75,6436.45,7390.91,6659.04
P0001,2025-04-23,6432.5,6507.06,6447.03,6462.2
P0001,2025-04-30,6955.86,6610.66,7453.59,7006.7
P0001,2025-05-07,7404.7,7402.08,6819.78,7208.85
P0001,2025-05-14,6516.05,7151.52,7183.85,6950.47
P0001,2025-05-21,7097.61,7091.54,6422.52,6870.56
P0001,2025-05-28,6134.27,7559.03,7214.45,6969.25
P0001,2025-06-04,7262.62,7197.55,7408.43,7289.53
P0001,2025-06-11,7421.21,6302.47,7126.09,6949.92
P0001,2025-06-18,6427.46,6267.63,7450.12,6715.07
P0001,2025-06-25,7360.04,6206.03,7515.68,7027.25
P0001,2025-07-02,6829.37,6501.68,6441.58,6590.88
P0001,2025-07-09,6675.62,6992.85,6344.55,6671.01
P0001,2025-07-16,7224.34,6481.18,6457.58,6721.03
P0001,2025-07-23,7405.42,7422.68,7381.3,7403.13
P0001,2025-07-30,7353.74,6975.67,7673.08,7334.16
P0001,2025-08-06,6628.32,6758.34,7001.03,6795.9
P0001,2025-08-13,6810.96,7175.49,7032.07,7006.17
P0001,2025-08-20,6883.74,6736.21,6840.97,6820.31
P0001,2025-08-27,6711.41,6576.73,7054.16,6780.77
P0001,2025-09-03,6642.01,6912.72,6468.66,6674.46
P0001,2025-09-10,7197.74,7043.33,6362.19,6867.75
P0001,2025-09-17,7303.25,6962.82,6890.19,7052.09
P0001,2025-09-24,6867.31,6863.13,7521.38,7083.94
P0001,2025-10-01,6535.28,7165.28,7196.63,6965.73
P0001,2025-10-08,6736.91,6448.31,7690.83,6958.68
P0001,2025-10-15,6982.49,7503.9,7460.86,7315.75
P0001,2025-10-22,6083.22,6617.06,6538.83,6413.04
P0001,2025-10-29,6139.96,7044.67,7299.62,6828.08
P0001,2025-11-05,6507.72,7026.57,6532.4,6688.9
P0001,2025-11-12,6911.76,6391.18,7664.0,6988.98
P0001,2025-11-19,6693.52,6618.61,7437.05,6916.39
P0001,2025-11-26,6531.85,6694.28,7467.17,6897.77
P0001,2025-12-03,7142.04,6276.64,7065.0,6827.89
P0001,2025-12-10,7041.55,7153.13,6714.74,6969.81
P0001,2025-12-17,6236.97,6213.03,7470.01,6640.0
P0001,2025-12-24,7356.37,6408.55,6918.15,6894.36
P0001,2025-12-31,7136.83,6344.84,6429.12,6636.93
P0002,2025-01-01,20754.85,18435.62,18478.15,19222.87
P0002,2025-01-08,19863.62,18846.91,20642.96,19784.5
P0002,2025-01-15,19258.27,19803.8,21126.42,20062.83
P0002,2025-01-22,19520.73,20856.95,20800.2,20392.63
P0002,2025-01-29,18315.21,19584.02,18498.3,18799.18
P0002,2025-02-05,21179.05,20649.49,20221.66,20683.4
P0002,2025-02-12,18899.04,19361.59,18474.66,18911.76
P0002,2025-02-19,17498.78,19078.83,19314.2,18630.6
P0002,2025-02-26,17431.71,19480.68,21495.02,19469.14
P0002,2025-03-05,19641.3,18411.86,20868.84,19640.67
P0002,2025-03-12,20340.18,18813.66,21545.99,20233.28
P0002,2025-03-19,21151.38,19011.88,21042.6,20401.95
P0002,2025-03-26,21329.31,17864.51,21207.16,20133.66
P0002,2025-04-02,17390.86,18829.86,20602.94,18941.22
P0002,2025-04-09,18491.94,20150.35,18984.33,19208.87
P0002,2025-04-16,18189.68,19953.14,18578.2,18907.01
P0002,2025-04-23,19112.63,20658.42,18389.65,19386.9
P0002,2025-04-30,19951.1,19531.14,21884.59,20455.61
P0002,2025-05-07,18771.59,19351.93,19729.03,19284.18
P0002,2025-05-14,18068.16,18174.36,19502.81,18581.78
P0002,2025-05-21,19831.42,19243.79,19540.67,19538.63
P0002,2025-05-28,18956.96,21025.76,18762.93,19581.88
P0002,2025-06-04,17514.01,20313.31,21654.88,19827.4
P0002,2025-06-11,21278.62,20736.5,19160.4,20391.84
P0002,2025-06-18,18246.24,20389.87,19156.35,19264.15
P0002,2025-06-25,19522.34,19440.44,20486.29,19816.36
P0002,2025-07-02,19292.83,18642.79,19510.8,19148.81
P0002,2025-07-09,19201.33,19135.8,21938.21,20091.78
P0002,2025-07-16,20245.67,18386.35,20686.35,19772.79
P0002,2025-07-23,18912.43,20509.74,18717.12,19379.76
P0002,2025-07-30,20664.41,20889.26,18183.56,19912.41
P0002,2025-08-06,18174.99,19463.71,18640.6,18759.77
P0002,2025-08-13,20577.25,20164.57,18449.06,19730.29
P0002,2025-08-20,19832.52,18757.65,21362.15,19984.11
P0002,2025-08-27,19176.87,20027.75,20487.02,19897.21
P0002,2025-09-03,20003.62,18814.64,21332.05,20050.1
P0002,2025-09-10,19733.28,21305.01,20627.64,20555.31
P0002,2025-09-17,21255.23,20045.72,18817.61,20039.52
P0002,2025-09-24,18715.95,18965.34,18180.05,18620.45
P0002,2025-10-01,19589.34,18053.28,18919.6,18854.07
P0002,2025-10-08,18417.13,17927.02,21592.01,19312.05
P0002,2025-10-15,17407.14,18715.29,19315.17,18479.2
P0002,2025-10-22,17804.16,18419.96,21189.52,19137.88
P0002,2025-10-29,21128.5,18121.04,21162.25,20137.26
P0002,2025-11-05,17802.85,18361.26,19678.23,18614.11
P0002,2025-11-12,19455.11,21320.57,19944.94,20240.21
P0002,2025-11-19,18286.29,20459.69,19595.79,19447.26
P0002,2025-11-26,20279.97,18359.11,21523.54,20054.21
P0002,2025-12-03,17529.49,21632.27,21272.74,20144.83
P0002,2025-12-10,20933.49,20329.41,19926.41,20396.44
P0002,2025-12-17,20578.84,19275.5,21253.13,20369.16
P0002,2025-12-24,19973.62,20106.65,21575.75,20552.01
P0002,2025-12-31,20528.52,20742.48,20253.75,20508.25
P0003,2025-01-01,8195.54,7558.94,7270.77,7675.08
P0003,2025-01-08,8039.72,7282.86,7962.19,7761.59
P0003,2025-01-15,7845.82,7268.04,7819.13,7644.33
P0003,2025-01-22,6988.39,8576.97,8180.68,7915.35
P0003,2025-01-29,8110.54,7558.02,7365.79,7678.12
P0003,2025-02-05,7745.84,8509.15,7704.65,7986.55
P0003,2025-02-12,7187.5,7192.91,7843.55,7407.99
P0003,2025-02-19,7128.52,7584.87,7634.09,7449.16
P0003,2025-02-26,7687.25,8519.6,8454.37,8220.41
P0003,2025-03-05,7734.58,7742.53,8636.01,8037.71
P0003,2025-03-12,8377.82,7493.48,8134.34,8001.88
P0003,2025-03-19,8244.71,7790.63,7588.99,7874.78
P0003,2025-03-26,7813.12,7445.01,8646.86,7968.33
P0003,2025-04-02,6979.73,7787.43,8397.25,7721.47
P0003,2025-04-09,7798.75,8064.88,7243.52,7702.38
P0003,2025-04-16,7447.55,8005.39,8222.83,7891.92
P0003,2025-04-23,8036.85,8356.88,8443.6,8279.11
P0003,2025-04-30,8335.93,7821.67,8083.33,8080.31
P0003,2025-05-07,8139.89,8135.96,7989.6,8088.48
P0003,2025-05-14,7890.1,7403.32,8458.01,7917.14
P0003,2025-05-21,8099.43,8372.94,8087.39,8186.59
P0003,2025-05-28,6962.66,7533.15,7915.44,7470.42
P0003,2025-06-04,7340.85,7396.96,7469.93,7402.58
P0003,2025-06-11,8276.49,7246.62,8069.9,7864.34
P0003,2025-06-18,8007.41,8111.55,7881.77,8000.24
P0003,2025-06-25,8343.63,7588.5,7435.1,7789.08
P0003,2025-07-02,7719.64,7452.65,7344.64,7505.64
P0003,2025-07-09,7945.46,7073.39,8115.96,7711.6
P0003,2025-07-16,8261.18,7517.73,7909.55,7896.15
P0003,2025-07-23,8183.59,7928.45,7766.01,7959.35
P0003,2025-07-30,8175.31,8384.89,8181.25,8247.15
P0003,2025-08-06,8027.2,7358.7,8186.59,7857.5
P0003,2025-08-13,8245.64,8070.03,7758.51,8024.73
P0003,2025-08-20,7676.18,7369.47,7893.93,7646.53
P0003,2025-08-27,7445.45,7604.73,8068.47,7706.22
P0003,2025-09-03,7226.21,7849.04,8258.89,7778.05
P0003,2025-09-10,7593.26,7647.81,8409.76,7883.61
P0003,2025-09-17,8371.59,8054.14,8070.53,8165.42
P0003,2025-09-24,7442.05,7431.65,7566.05,7479.92
P0003,2025-10-01,8030.18,8618.32,8716.33,8454.94
P0003,2025-10-08,7407.59,7844.76,7574.49,7608.95
P0003,2025-10-15,7751.69,7534.98,8641.19,7975.95
P0003,2025-10-22,7060.77,8426.4,8560.25,8015.81
P0003,2025-10-29,6928.6,7512.67,7908.85,7450.04
P0003,2025-11-05,8230.64,7814.05,8179.09,8074.59
P0003,2025-11-12,7161.5,7098.49,7856.85,7372.28
P0003,2025-11-19,7518.38,8610.39,7906.64,8011.8
P0003,2025-11-26,6968.86,7553.09,8253.66,7591.87
P0003,2025-12-03,7427.5,7629.91,7670.79,7576.07
P0003,2025-12-10,7784.93,7290.23,8647.17,7907.44
P0003,2025-12-17,7413.41,7967.25,8274.12,7884.93
P0003,2025-12-24,6912.24,7335.33,7400.3,7215.96
P0003,2025-12-31,8258.37,7178.17,7423.06,7619.87
P0004,2025-01-01,1278.28,1094.27,1236.95,1203.17
P0004,2025-01-08,1187.49,1308.66,1123.86,1206.67
P0004,2025-01-15,1099.74,1184.33,1324.75,1202.94
P0004,2025-01-22,1209.02,1119.81,1332.54,1220.46
P0004,2025-01-29,1053.87,1135.44,1153.86,1114.39
P0004,2025-02-05,1065.52,1237.1,1331.96,1211.53
P0004,2025-02-12,1216.12,1149.98,1302.41,1222.84
P0004,2025-02-19,1125.28,1313.89,1339.89,1259.69
P0004,2025-02-26,1225.35,1258.1,1238.11,1240.52
P0004,2025-03-05,1213.66,1298.16,1214.31,1242.04
P0004,2025-03-12,1240.47,1134.16,1207.6,1194.08
P0004,2025-03-19,1057.7,1214.33,1280.14,1184.06
P0004,2025-03-26,1137.66,1279.83,1157.99,1191.83
P0004,2025-04-02,1226.19,1264.48,1130.11,1206.93
P0004,2025-04-09,1145.08,1278.49,1107.63,1177.07
P0004,2025-04-16,1241.34,1310.77,1313.26,1288.46
P0004,2025-04-23,1107.23,1082.81,1203.43,1131.16
P0004,2025-04-30,1063.88,1092.76,1137.58,1098.07
P0004,2025-05-07,1257.58,1148.27,1265.8,1223.88
P0004,2025-05-14,1078.93,1297.4,1283.37,1219.9
P0004,2025-05-21,1165.12,1138.99,1160.69,1154.93
P0004,2025-05-28,1178.31,1155.43,1279.42,1204.39
P0004,2025-06-04,1096.63,1155.75,1261.21,1171.2
P0004,2025-06-11,1255.98,1273.1,1164.95,1231.34
P0004,2025-06-18,1112.71,1288.17,1147.47,1182.78
P0004,2025-06-25,1180.91,1116.28,1153.98,1150.39
P0004,2025-07-02,1137.66,1271.02,1125.59,1178.09
P0004,2025-07-09,1267.1,1172.98,1205.34,1215.14
P0004,2025-07-16,1195.17,1125.5,1157.37,1159.35
P0004,2025-07-23,1112.93,1309.4,1137.23,1186.52
P0004,2025-07-30,1205.16,1132.73,1161.45,1166.45
P0004,2025-08-06,1203.38,1215.1,1107.67,1175.38
P0004,2025-08-13,1274.54,1236.36,1292.04,1267.65
P0004,2025-08-20,1160.86,1140.48,1178.46,1159.93
P0004,2025-08-27,1145.3,1148.37,1193.07,1162.25
P0004,2025-09-03,1231.14,1259.09,1111.15,1200.46
P0004,2025-09-10,1133.83,1111.07,1176.78,1140.56
P0004,2025-09-17,1291.66,1222.25,1237.14,1250.35
P0004,2025-09-24,1184.42,1100.19,1132.58,1139.06
P0004,2025-10-01,1194.36,1306.69,1149.71,1216.92
P0004,2025-10-08,1213.18,1182.24,1125.45,1173.62
P0004,2025-10-15,1164.78,1203.24,1152.63,1173.55
P0004,2025-10-22,1124.52,1190.31,1314.23,1209.69
P0004,2025-10-29,1147.02,1160.73,1167.91,1158.55
P0004,2025-11-05,1287.08,1081.51,1267.64,1212.08
P0004,2025-11-12,1141.26,1216.04,1270.27,1209.19
P0004,2025-11-19,1126.78,1178.68,1261.37,1188.94
P0004,2025-11-26,1175.56,1154.17,1255.42,1195.05
P0004,2025-12-03,1231.98,1309.87,1313.7,1285.18
P0004,2025-12-10,1258.38,1235.37,1172.91,1222.22
P0004,2025-12-17,1059.67,1165.62,1135.89,1120.39
P0004,2025-12-24,1245.41,1111.05,1153.88,1170.11
P0004,2025-12-31,1123.81,1198.93,1277.03,1199.92
P0005,2025-01-01,12526.37,13037.33,12564.36,12709.35
P0005,2025-01-08,12731.65,12253.85,12918.61,12634.7
P0005,2025-01-15,12262.73,13728.43,14238.88,13410.01
P0005,2025-01-22,12834.98,12849.13,12861.79,12848.63
P0005,2025-01-29,11598.03,12643.21,14254.22,12831.82
P0005,2025-02-05,11734.27,11761.67,11903.16,11799.7
P0005,2025-02-12,12217.92,13138.6,12382.29,12579.6
P0005,2025-02-19,13436.12,12816.2,13318.03,13190.12
P0005,2025-02-26,13414.62,11799.92,12358.09,12524.21
P0005,2025-03-05,12042.11,11956.09,12511.07,12169.76
P0005,2025-03-12,11982.89,11935.67,13789.38,12569.31
P0005,2025-03-19,12729.98,12403.95,13154.42,12762.78
P0005,2025-03-26,13436.65,13588.48,13164.75,13396.63
