product_id,date,opening_inventory,units_sold_estimate,closing_inventory,reorder_point,inventory_status
P0001,2025-01-01,1102,584,691,220,Normal
P0001,2025-02-01,453,186,634,91,High
P0001,2025-03-01,543,216,570,109,High
P0001,2025-04-01,629,332,586,126,High
P0001,2025-05-01,477,200,337,95,Normal
P0001,2025-06-01,242,106,265,48,High
P0001,2025-07-01,1302,806,707,260,Normal
P0001,2025-08-01,216,70,218,43,High
P0001,2025-09-01,666,167,918,133,High
P0001,2025-10-01,578,196,466,116,High
P0001,2025-11-01,1173,496,842,235,Normal
P0001,2025-12-01,1009,473,762,202,High
P0002,2025-01-01,184,73,429,37,High
P0002,2025-02-01,983,546,567,197,Normal
P0002,2025-03-01,790,445,578,158,Normal
P0002,2025-04-01,1128,659,920,226,High
P0002,2025-05-01,301,155,498,60,High
P0002,2025-06-01,219,136,398,44,High
P0002,2025-07-01,435,197,681,87,High
P0002,2025-08-01,1343,634,1011,269,High
P0002,2025-09-01,224,63,401,45,High
P0002,2025-10-01,458,266,412,92,High
P0002,2025-11-01,391,133,660,78,High
P0002,2025-12-01,749,431,523,150,Normal
P0003,2025-01-01,1168,676,543,234,Normal
P0003,2025-02-01,304,157,493,61,High
P0003,2025-03-01,256,66,320,51,High
P0003,2025-04-01,580,246,716,116,High
P0003,2025-05-01,998,419,783,200,High
P0003,2025-06-01,533,205,644,107,High
P0003,2025-07-01,256,132,532,51,High
P0003,2025-08-01,382,102,564,76,High
P0003,2025-09-01,1288,333,1207,258,High
P0003,2025-10-01,696,265,556,139,High
P0003,2025-11-01,1166,664,987,233,High
P0003,2025-12-01,1367,884,710,273,Normal
P0004,2025-01-01,993,388,662,199,Normal
P0004,2025-02-01,1300,376,1198,260,High
P0004,2025-03-01,240,75,327,48,High
P0004,2025-04-01,1161,480,977,232,High
P0004,2025-05-01,892,511,694,178,High
P0004,2025-06-01,947,506,729,189,High
P0004,2025-07-01,1416,431,1105,283,High
P0004,2025-08-01,262,109,612,52,High
P0004,2025-09-01,1080,435,1125,216,High
P0004,2025-10-01,1155,728,472,231,Normal
P0004,2025-11-01,359,157,267,72,Normal
P0004,2025-12-01,413,253,214,83,Normal
P0005,2025-01-01,812,342,886,162,High
P0005,2025-02-01,794,499,477,159,Normal
P0005,2025-03-01,1306,503,1062,261,High
P0005,2025-04-01,367,193,228,73,Normal
P0005,2025-05-01,1412,580,867,282,Normal
P0005,2025-06-01,1309,634,1009,262,High
P0005,2025-07-01,566,277,785,113,High
P0005,2025-08-01,952,330,751,190,High
P0005,2025-09-01,1425,686,745,285,Normal
P0005,2025-10-01,1164,500,908,233,High
P0005,2025-11-01,1246,471,1107,249,High
P0005,2025-12-01,579,147,645,116,High
P0006,2025-01-01,1401,388,1362,280,High
P0006,2025-02-01,878,414,773,176,High
P0006,2025-03-01,1105,519,806,221,Normal
P0006,2025-04-01,554,296,612,111,High
P0006,2025-05-01,727,434,578,145,High
P0006,2025-06-01,482,172,750,96,High
P0006,2025-07-01,1229,740,826,246,Normal
P0006,2025-08-01,1124,473,883,225,High
P0006,2025-09-01,1289,644,1125,258,High
P0006,2025-10-01,886,301,1070,177,High
P0006,2025-11-01,782,496,409,156,Normal
P0006,2025-12-01,869,250,963,174,High
P0007,2025-01-01,943,468,517,189,Normal
P0007,2025-02-01,677,427,436,135,Normal
P0007,2025-03-01,974,509,873,195,High
P0007,2025-04-01,1087,602,596,217,Normal
P0007,2025-05-01,1247,794,742,249,Normal
P0007,2025-06-01,965,343,726,193,High
P0007,2025-07-01,1248,579,810,250,Normal
P0007,2025-08-01,715,408,329,143,Normal
P0007,2025-09-01,715,399,550,143,High
P0007,2025-10-01,911,582,803,182,High
P0007,2025-11-01,527,278,517,105,High
P0007,2025-12-01,165,60,447,33,High
P0008,2025-01-01,530,171,366,106,Normal
P0008,2025-02-01,1287,498,1140,257,High
P0008,2025-03-01,861,341,694,172,High
P0008,2025-04-01,850,299,811,170,High
P0008,2025-05-01,970,606,541,194,Normal
P0008,2025-06-01,1466,428,1226,293,High
P0008,2025-07-01,656,414,473,131,Normal
P0008,2025-08-01,428,257,268,86,Normal
P0008,2025-09-01,1210,696,721,242,Normal
P0008,2025-10-01,658,213,810,132,High
P0008,2025-11-01,264,148,364,53,High
P0008,2025-12-01,953,562,637,191,Normal
P0009,2025-01-01,663,285,519,133,High
P0009,2025-02-01,1489,549,1390,298,High
P0009,2025-03-01,875,404,639,175,Normal
P0009,2025-04-01,1082,630,702,216,Normal
P0009,2025-05-01,971,542,485,194,Normal
P0009,2025-06-01,1221,479,1063,244,High
P0009,2025-07-01,1454,803,1007,291,Normal
P0009,2025-08-01,301,79,397,60,High
P0009,2025-09-01,1103,625,936,221,High
P0009,2025-10-01,362,133,576,72,High
P0009,2025-11-01,648,244,502,130,High
P0009,2025-12-01,491,185,565,98,High
P0010,2025-01-01,1194,682,728,239,Normal
P0010,2025-02-01,629,316,652,126,High
P0010,2025-03-01,292,126,338,58,High
P0010,2025-04-01,901,325,632,180,Normal
P0010,2025-05-01,998,511,828,200,High
P0010,2025-06-01,432,192,370,86,High
P0010,2025-07-01,1023,484,641,205,Normal
P0010,2025-08-01,1183,333,1067,237,High
P0010,2025-09-01,1304,399,1114,261,High
P0010,2025-10-01,868,340,889,174,High
P0010,2025-11-01,1090,572,533,218,Normal
P0010,2025-12-01,758,200,979,152,High
P0011,2025-01-01,1271,391,1312,254,High
P0011,2025-02-01,1322,364,1385,264,High
P0011,2025-03-01,337,213,463,67,High
P0011,2025-04-01,1268,546,758,254,Normal
P0011,2025-05-01,1265,753,963,253,High
P0011,2025-06-01,591,187,665,118,High
P0011,2025-07-01,415,211,243,83,Normal
P0011,2025-08-01,1006,436,624,201,Normal
P0011,2025-09-01,996,501,942,199,High
P0011,2025-10-01,1391,618,855,278,Normal
P0011,2025-11-01,1028,601,785,206,High
P0011,2025-12-01,622,205,585,124,High
P0012,2025-01-01,541,237,308,108,Normal
P0012,2025-02-01,204,57,225,41,High
P0012,2025-03-01,641,220,736,128,High
P0012,2025-04-01,1493,565,1298,299,High
P0012,2025-05-01,433,243,233,87,Normal
P0012,2025-06-01,770,364,596,154,High
P0012,2025-07-01,638,303,558,128,High
P0012,2025-08-01,1435,760,944,287,Normal
P0012,2025-09-01,1110,476,861,222,High
P0012,2025-10-01,287,171,179,57,Normal
P0012,2025-11-01,1326,803,676,265,Normal
P0012,2025-12-01,496,169,533,99,High
P0013,2025-01-01,1128,512,1057,226,High
P0013,2025-02-01,400,183,470,80,High
P0013,2025-03-01,637,272,722,127,High
P0013,2025-04-01,425,126,783,85,High
P0013,2025-05-01,346,112,277,69,High
P0013,2025-06-01,894,495,634,179,Normal
P0013,2025-07-01,604,203,800,121,High
P0013,2025-08-01,295,97,555,59,High
P0013,2025-09-01,466,226,545,93,High
P0013,2025-10-01,984,535,609,197,Normal
P0013,2025-11-01,770,415,496,154,Normal
P0013,2025-12-01,799,429,554,160,Normal
P0014,2025-01-01,1497,523,1376,299,High
P0014,2025-02-01,944,257,751,189,High
P0014,2025-03-01,1300,681,861,260,Normal
P0014,2025-04-01,341,162,345,68,High
P0014,2025-05-01,1287,331,1028,257,High
P0014,2025-06-01,839,233,888,168,High
P0014,2025-07-01,348,152,307,70,High
P0014,2025-08-01,509,293,534,102,High
P0014,2025-09-01,341,219,588,68,High
P0014,2025-10-01,588,349,664,118,High
P0014,2025-11-01,585,148,520,117,High
P0014,2025-12-01,1254,695,999,251,High
P0015,2025-01-01,1454,544,1222,291,High
P0015,2025-02-01,920,406,523,184,Normal
P0015,2025-03-01,676,260,429,135,Normal
P0015,2025-04-01,516,304,423,103,High
P0015,2025-05-01,931,451,654,186,Normal
P0015,2025-06-01,283,123,195,57,Normal
P0015,2025-07-01,687,181,819,137,High
P0015,2025-08-01,929,259,875,186,High
P0015,2025-09-01,633,402,388,127,Normal
P0015,2025-10-01,249,109,324,50,High
P0015,2025-11-01,307,84,502,61,High
P0015,2025-12-01,994,625,782,199,High
P0016,2025-01-01,1260,607,967,252,High
P0016,2025-02-01,1488,559,929,298,Normal
P0016,2025-03-01,987,580,553,197,Normal
P0016,2025-04-01,1137,596,970,227,High
P0016,2025-05-01,368,193,517,74,High
P0016,2025-06-01,869,220,1108,174,High
P0016,2025-07-01,846,476,744,169,High
P0016,2025-08-01,479,244,598,96,High
P0016,2025-09-01,1122,330,891,224,High
P0016,2025-10-01,159,90,331,32,High
P0016,2025-11-01,1111,489,962,222,High
P0016,2025-12-01,1148,716,869,230,High
P0017,2025-01-01,1085,649,578,217,Normal
P0017,2025-02-01,250,101,576,50,High
P0017,2025-03-01,708,195,959,142,High
P0017,2025-04-01,1110,435,820,222,Normal
P0017,2025-05-01,161,82,292,32,High
P0017,2025-06-01,1254,447,1131,251,High
P0017,2025-07-01,206,90,538,41,High
P0017,2025-08-01,256,72,495,51,High
P0017,2025-09-01,1265,463,1142,253,High
P0017,2025-10-01,877,385,631,175,Normal
P0017,2025-11-01,1192,476,899,238,High
P0017,2025-12-01,1126,491,1116,225,High
P0018,2025-01-01,562,218,719,112,High
P0018,2025-02-01,583,332,433,117,Normal
P0018,2025-03-01,680,287,695,136,High
P0018,2025-04-01,870,564,512,174,Normal
P0018,2025-05-01,855,375,904,171,High
P0018,2025-06-01,1398,558,996,280,Normal
P0018,2025-07-01,1347,640,852,269,Normal
P0018,2025-08-01,327,139,218,65,Normal
P0018,2025-09-01,1165,472,851,233,Normal
P0018,2025-10-01,1389,508,1007,278,Normal
P0018,2025-11-01,1414,463,1111,283,High
P0018,2025-12-01,1222,401,968,244,High
P0019,2025-01-01,557,345,362,111,Normal
P0019,2025-02-01,655,301,665,131,High
P0019,2025-03-01,1402,520,1173,280,High
P0019,2025-04-01,583,280,405,117,Normal
P0019,2025-05-01,1398,826,598,280,Normal
P0019,2025-06-01,1143,605,617,229,Normal
P0019,2025-07-01,513,161,432,103,High
P0019,2025-08-01,1420,385,1275,284,High
P0019,2025-09-01,1229,443,1230,246,High
P0019,2025-10-01,1027,569,712,205,Normal
P0019,2025-11-01,1372,359,1221,274,High
P0019,2025-12-01,904,262,989,181,High
P0020,2025-01-01,822,361,761,164,High
P0020,2025-02-01,938,259,1050,188,High
P0020,2025-03-01,1180,702,772,236,Normal
P0020,2025-04-01,1092,352,824,218,High
P0020,2025-05-01,582,236,773,116,High
P0020,2025-06-01,840,325,990,168,High
P0020,2025-07-01,891,401,649,178,Normal
P0020,2025-08-01,369,187,244,74,Normal
P0020,2025-09-01,1268,590,783,254,Normal
P0020,2025-10-01,246,118,399,49,High
P0020,2025-11-01,949,331,666,190,Normal
P0020,2025-12-01,1310,729,990,262,High
P0021,2025-01-01,1384,756,828,277,Normal
P0021,2025-02-01,421,108,626,84,High
P0021,2025-03-01,1384,547,937,277,Normal
P0021,2025-04-01,587,277,481,117,High
P0021,2025-05-01,1492,808,992,298,Normal
P0021,2025-06-01,468,217,378,94,High
P0021,2025-07-01,1289,768,590,258,Normal
P0021,2025-08-01,282,116,323,56,High
P0021,2025-09-01,484,275,558,97,High
P0021,2025-10-01,214,120,425,43,High
P0021,2025-11-01,1432,378,1411,286,High
P0021,2025-12-01,749,292,718,150,High
P0022,2025-01-01,373,133,308,75,High
P0022,2025-02-01,648,180,875,130,High
P0022,2025-03-01,999,441,783,200,High
P0022,2025-04-01,1129,382,782,226,Normal
P0022,2025-05-01,525,198,648,105,High
P0022,2025-06-01,1296,700,1050,259,High
P0022,2025-07-01,1281,619,987,256,High
P0022,2025-08-01,230,71,612,46,High
P0022,2025-09-01,948,393,826,190,High
P0022,2025-10-01,1377,871,875,275,Normal
P0022,2025-11-01,182,82,486,36,High
P0022,2025-12-01,359,209,623,72,High
P0023,2025-01-01,1429,815,680,286,Normal
P0023,2025-02-01,340,164,431,68,High
P0023,2025-03-01,1211,589,1107,242,High
P0023,2025-04-01,1227,741,885,245,Normal
P0023,2025-05-01,253,88,197,51,High
P0023,2025-06-01,1135,384,877,227,High
P0023,2025-07-01,850,405,657,170,High
P0023,2025-08-01,177,85,202,35,High
P0023,2025-09-01,353,224,219,71,Normal
P0023,2025-10-01,1270,682,1044,254,High
P0023,2025-11-01,696,229,492,139,Normal
P0023,2025-12-01,866,271,616,173,Normal
P0024,2025-01-01,843,471,633,169,High
P0024,2025-02-01,1097,589,633,219,Normal
P0024,2025-03-01,1181,340,1188,236,High
P0024,2025-04-01,390,160,384,78,High
P0024,2025-05-01,818,269,927,164,High
P0024,2025-06-01,883,361,679,177,High
P0024,2025-07-01,453,126,517,91,High
P0024,2025-08-01,550,223,340,110,Normal
P0024,2025-09-01,1043,484,994,209,High
P0024,2025-10-01,1066,653,450,213,Normal
P0024,2025-11-01,824,404,905,165,High
P0024,2025-12-01,977,415,605,195,Normal
P0025,2025-01-01,720,352,623,144,High
P0025,2025-02-01,1446,825,838,289,Normal
P0025,2025-03-01,546,164,544,109,High
P0025,2025-04-01,418,194,701,84,High
P0025,2025-05-01,444,157,616,89,High
P0025,2025-06-01,1236,318,1131,247,High
P0025,2025-07-01,1463,892,1007,293,Normal
P0025,2025-08-01,1201,513,695,240,Normal
P0025,2025-09-01,590,265,410,118,Normal
P0025,2025-10-01,1398,384,1375,280,High
P0025,2025-11-01,527,213,327,105,Normal
P0025,2025-12-01,1351,820,854,270,Normal
