product_id,product_name,category,base_cost,base_price,min_price,max_price
P0001,Coffee Maker 001,Home & Kitchen,4229.63,6891.82,4441.11,9303.96
P0002,Yoga Mat 002,Sports,9953.76,19754.07,10451.45,26667.99
P0003,Winter Jacket 003,Fashion,4547.79,7842.3,4775.18,10587.11
P0004,Perfume 004,Beauty,700.47,1197.05,735.49,1616.02
P0005,Smart Watch 005,Electronics,10018.66,12814.46,10519.59,17299.52
P0006,Bluetooth Speaker 006,Electronics,4338.75,9062.3,4555.69,12234.1
P0007,Smart Watch 007,Electronics,9353.86,12670.04,9821.55,17104.55
P0008,Resistance Bands 008,Sports,4544.27,6573.11,4771.48,8873.7
P0009,Perfume 009,Beauty,10374.5,13424.0,10893.22,18122.4
P0010,Backpack 010,Fashion,2868.27,5145.68,3011.68,6946.67
P0011,Bluetooth Speaker 011,Electronics,11702.2,16862.82,12287.31,22764.81
P0012,Dumbbell Set 012,Sports,9423.18,13220.81,9894.34,17848.09
P0013,Backpack 013,Fashion,1636.58,2168.91,1718.41,2928.03
P0014,Bluetooth Speaker 014,Electronics,6919.59,9257.11,7265.57,12497.1
P0015,Wireless Headphones 015,Electronics,11828.8,20664.56,12420.24,27897.16
P0016,Smartphone 016,Electronics,5811.47,10663.91,6102.04,14396.28
P0017,Air Fryer 017,Home & Kitchen,2430.65,3859.32,2552.18,5210.08
P0018,Moisturizer 018,Beauty,5971.91,9900.9,6270.51,13366.22
P0019,Vacuum Cleaner 019,Home & Kitchen,6295.75,11540.57,6610.54,15579.77
P0020,Water Bottle 020,Home & Kitchen,8977.74,11354.8,9426.63,15328.98
P0021,Perfume 021,Beauty,8476.5,12923.79,8900.33,17447.12
P0022,Wireless Headphones 022,Electronics,5009.84,10406.1,5260.33,14048.24
P0023,Coffee Maker 023,Home & Kitchen,2850.87,4969.34,2993.41,6708.61
P0024,Air Fryer 024,Home & Kitchen,7847.13,11504.61,8239.49,15531.22
P0025,Face Serum 025,Beauty,5233.94,8863.52,5495.64,11965.75
P0026,Backpack 026,Fashion,1847.63,2847.67,1940.01,3844.35
P0027,Bluetooth Speaker 027,Electronics,10836.7,18448.49,11378.54,24905.46
P0028,Moisturizer 028,Beauty,8387.3,11380.56,8806.66,15363.76
P0029,Face Serum 029,Beauty,8293.25,11302.1,8707.91,15257.84
P0030,Wireless Mouse 030,Electronics,9924.23,13616.15,10420.44,18381.8
P0031,Sunscreen 031,Beauty,6497.04,13311.44,6821.89,17970.44
P0032,Wireless Headphones 032,Electronics,9836.14,18422.74,10327.95,24870.7
P0033,Bluetooth Speaker 033,Electronics,6127.66,8505.34,6434.04,11482.21
P0034,Yoga Mat 034,Sports,1085.95,1531.29,1140.25,2067.24
P0035,Dumbbell Set 035,Sports,5041.4,9433.49,5293.47,12735.21
P0036,Winter Jacket 036,Fashion,6120.34,8462.83,6426.36,11424.82
P0037,Vacuum Cleaner 037,Home & Kitchen,8726.37,12647.8,9162.69,17074.53
P0038,Wireless Headphones 038,Electronics,1546.97,3200.44,1624.32,4320.59
P0039,Running Shoes 039,Fashion,1938.22,2843.39,2035.13,3838.58
P0040,Mixer Grinder 040,Home & Kitchen,3385.1,6135.11,3554.36,8282.4
P0041,Wireless Headphones 041,Electronics,3418.03,7115.78,3588.93,9606.3
P0042,Perfume 042,Beauty,8866.56,13904.12,9309.89,18770.56
P0043,Bluetooth Speaker 043,Electronics,3233.55,4090.08,3395.23,5521.61
P0044,Cricket Bat 044,Sports,7707.25,11233.51,8092.61,15165.24
P0045,Water Bottle 045,Home & Kitchen,6083.0,11899.84,6387.15,16064.78
