promotion_id,date,promotion_type,promotion_discount_pct
PR0001,2025-01-01,None,0.0
PR0002,2025-01-02,Weekend Sale,8.3
PR0003,2025-01-03,Festival Sale,19.7
PR0004,2025-01-04,None,0.0
PR0005,2025-01-05,None,0.0
PR0006,2025-01-06,Festival Sale,23.9
PR0007,2025-01-07,None,0.0
PR0008,2025-01-08,None,0.0
PR0009,2025-01-09,Festival Sale,10.8
PR0010,2025-01-10,None,0.0
PR0011,2025-01-11,None,0.0
PR0012,2025-01-12,Flash Sale,13.3
PR0013,2025-01-13,Flash Sale,28.7
PR0014,2025-01-14,None,0.0
PR0015,2025-01-15,None,0.0
PR0016,2025-01-16,None,0.0
PR0017,2025-01-17,None,0.0
PR0018,2025-01-18,None,0.0
PR0019,2025-01-19,None,0.0
PR0020,2025-01-20,None,0.0
PR0021,2025-01-21,None,0.0
PR0022,2025-01-22,Weekend Sale,7.7
PR0023,2025-01-23,None,0.0
PR0024,2025-01-24,None,0.0
PR0025,2025-01-25,Flash Sale,13.5
PR0026,2025-01-26,None,0.0
PR0027,2025-01-27,None,0.0
PR0028,2025-01-28,None,0.0
PR0029,2025-01-29,Weekend Sale,19.0
PR0030,2025-01-30,Flash Sale,12.9
PR0031,2025-01-31,None,0.0
PR0032,2025-02-01,Festival Sale,21.2
PR0033,2025-02-02,None,0.0
PR0034,2025-02-03,None,0.0
PR0035,2025-02-04,None,0.0
PR0036,2025-02-05,None,0.0
PR0037,2025-02-06,Weekend Sale,14.8
PR0038,2025-02-07,None,0.0
PR0039,2025-02-08,Clearance,18.9
PR0040,2025-02-09,None,0.0
PR0041,2025-02-10,Festival Sale,11.4
PR0042,2025-02-11,None,0.0
PR0043,2025-02-12,None,0.0
PR0044,2025-02-13,Weekend Sale,21.7
PR0045,2025-02-14,None,0.0
PR0046,2025-02-15,Clearance,20.1
PR0047,2025-02-16,Clearance,21.2
PR0048,2025-02-17,None,0.0
PR0049,2025-02-18,None,0.0
PR0050,2025-02-19,Weekend Sale,13.9
PR0051,2025-02-20,None,0.0
PR0052,2025-02-21,None,0.0
PR0053,2025-02-22,Weekend Sale,25.4
PR0054,2025-02-23,Flash Sale,25.7
PR0055,2025-02-24,Festival Sale,25.4
PR0056,2025-02-25,None,0.0
PR0057,2025-02-26,Festival Sale,12.1
PR0058,2025-02-27,None,0.0
PR0059,2025-02-28,Flash Sale,20.3
PR0060,2025-03-01,Festival Sale,7.3
PR0061,2025-03-02,None,0.0
PR0062,2025-03-03,None,0.0
PR0063,2025-03-04,Festival Sale,22.4
PR0064,2025-03-05,None,0.0
PR0065,2025-03-06,Flash Sale,7.8
PR0066,2025-03-07,None,0.0
PR0067,2025-03-08,None,0.0
PR0068,2025-03-09,None,0.0
PR0069,2025-03-10,Weekend Sale,11.6
PR0070,2025-03-11,Clearance,11.6
PR0071,2025-03-12,None,0.0
PR0072,2025-03-13,None,0.0
PR0073,2025-03-14,None,0.0
PR0074,2025-03-15,None,0.0
PR0075,2025-03-16,None,0.0
PR0076,2025-03-17,Flash Sale,28.6
PR0077,2025-03-18,None,0.0
PR0078,2025-03-19,Weekend Sale,21.0
PR0079,2025-03-20,Flash Sale,21.4
PR0080,2025-03-21,None,0.0
PR0081,2025-03-22,Clearance,17.0
PR0082,2025-03-23,None,0.0
PR0083,2025-03-24,Weekend Sale,10.2
PR0084,2025-03-25,None,0.0
PR0085,2025-03-26,None,0.0
PR0086,2025-03-27,None,0.0
PR0087,2025-03-28,None,0.0
PR0088,2025-03-29,None,0.0
PR0089,2025-03-30,Clearance,28.1
PR0090,2025-03-31,Festival Sale,11.1
PR0091,2025-04-01,Flash Sale,22.3
PR0092,2025-04-02,None,0.0
PR0093,2025-04-03,None,0.0
PR0094,2025-04-04,None,0.0
PR0095,2025-04-05,Weekend Sale,12.7
PR0096,2025-04-06,Flash Sale,16.6
PR0097,2025-04-07,Weekend Sale,28.5
PR0098,2025-04-08,None,0.0
PR0099,2025-04-09,None,0.0
PR0100,2025-04-10,Weekend Sale,11.6
PR0101,2025-04-11,None,0.0
PR0102,2025-04-12,Clearance,12.2
PR0103,2025-04-13,None,0.0
PR0104,2025-04-14,None,0.0
PR0105,2025-04-15,Flash Sale,24.4
PR0106,2025-04-16,None,0.0
PR0107,2025-04-17,Weekend Sale,6.8
PR0108,2025-04-18,Clearance,8.3
PR0109,2025-04-19,Festival Sale,25.3
PR0110,2025-04-20,None,0.0
PR0111,2025-04-21,None,0.0
PR0112,2025-04-22,Clearance,26.8
PR0113,2025-04-23,Flash Sale,17.3
PR0114,2025-04-24,None,0.0
PR0115,2025-04-25,None,0.0
PR0116,2025-04-26,Weekend Sale,26.2
PR0117,2025-04-27,None,0.0
PR0118,2025-04-28,Clearance,27.1
PR0119,2025-04-29,Flash Sale,19.3
PR0120,2025-04-30,Festival Sale,8.0
PR0121,2025-05-01,None,0.0
PR0122,2025-05-02,None,0.0
PR0123,2025-05-03,Flash Sale,7.2
PR0124,2025-05-04,None,0.0
PR0125,2025-05-05,None,0.0
PR0126,2025-05-06,None,0.0
PR0127,2025-05-07,Festival Sale,14.5
PR0128,2025-05-08,Weekend Sale,29.6
PR0129,2025-05-09,None,0.0
PR0130,2025-05-10,Weekend Sale,20.6
PR0131,2025-05-11,None,0.0
PR0132,2025-05-12,None,0.0
PR0133,2025-05-13,Flash Sale,26.4
PR0134,2025-05-14,Weekend Sale,24.0
PR0135,2025-05-15,None,0.0
PR0136,2025-05-16,None,0.0
PR0137,2025-05-17,Weekend Sale,26.2
PR0138,2025-05-18,Festival Sale,22.4
PR0139,2025-05-19,None,0.0
PR0140,2025-05-20,None,0.0
PR0141,2025-05-21,Flash Sale,7.1
PR0142,2025-05-22,Flash Sale,27.2
PR0143,2025-05-23,None,0.0
PR0144,2025-05-24,Flash Sale,23.5
PR0145,2025-05-25,Clearance,22.3
PR0146,2025-05-26,Weekend Sale,9.6
PR0147,2025-05-27,None,0.0
PR0148,2025-05-28,None,0.0
PR0149,2025-05-29,Flash Sale,24.7
PR0150,2025-05-30,Weekend Sale,5.2
PR0151,2025-05-31,Flash Sale,20.5
PR0152,2025-06-01,None,0.0
PR0153,2025-06-02,Weekend Sale,18.8
PR0154,2025-06-03,None,0.0
PR0155,2025-06-04,None,0.0
PR0156,2025-06-05,None,0.0
PR0157,2025-06-06,None,0.0
PR0158,2025-06-07,Weekend Sale,22.1
PR0159,2025-06-08,None,0.0
PR0160,2025-06-09,None,0.0
PR0161,2025-06-10,Clearance,5.2
PR0162,2025-06-11,None,0.0
PR0163,2025-06-12,Flash Sale,27.0
PR0164,2025-06-13,None,0.0
PR0165,2025-06-14,Flash Sale,12.6
PR0166,2025-06-15,None,0.0
PR0167,2025-06-16,None,0.0
PR0168,2025-06-17,None,0.0
PR0169,2025-06-18,None,0.0
PR0170,2025-06-19,None,0.0
PR0171,2025-06-20,None,0.0
PR0172,2025-06-21,None,0.0
PR0173,2025-06-22,Weekend Sale,7.0
PR0174,2025-06-23,Weekend Sale,13.2
PR0175,2025-06-24,Festival Sale,10.6
PR0176,2025-06-25,None,0.0
PR0177,2025-06-26,None,0.0
PR0178,2025-06-27,Clearance,26.7
PR0179,2025-06-28,None,0.0
PR0180,2025-06-29,None,0.0
PR0181,2025-06-30,Flash Sale,15.6
PR0182,2025-07-01,None,0.0
PR0183,2025-07-02,Flash Sale,19.9
PR0184,2025-07-03,Flash Sale,17.7
PR0185,2025-07-04,Flash Sale,7.6
PR0186,2025-07-05,Weekend Sale,11.4
PR0187,2025-07-06,Flash Sale,10.9
PR0188,2025-07-07,None,0.0
PR0189,2025-07-08,None,0.0
PR0190,2025-07-09,None,0.0
PR0191,2025-07-10,Festival Sale,13.9
PR0192,2025-07-11,Flash Sale,20.0
PR0193,2025-07-12,None,0.0
PR0194,2025-07-13,None,0.0
PR0195,2025-07-14,None,0.0
PR0196,2025-07-15,Festival Sale,24.4
PR0197,2025-07-16,None,0.0
PR0198,2025-07-17,Weekend Sale,22.0
PR0199,2025-07-18,None,0.0
PR0200,2025-07-19,Weekend Sale,7.5
PR0201,2025-07-20,None,0.0
PR0202,2025-07-21,None,0.0
PR0203,2025-07-22,None,0.0
PR0204,2025-07-23,Weekend Sale,6.5
PR0205,2025-07-24,None,0.0
PR0206,2025-07-25,None,0.0
PR0207,2025-07-26,None,0.0
PR0208,2025-07-27,None,0.0
