transaction_id,date,product_id,category,unit_price,discount_pct,competitor_price,promotion_flag,quantity_sold,revenue,gross_profit
T006935,2025-01-01,P0238,Electronics,16279.8,4.57,18145.14,0,25,406995.0,184826.25
T041669,2025-01-01,P0293,Fashion,13679.0,1.29,14544.03,0,6,82074.0,38547.42
T028309,2025-01-01,P0067,Electronics,6234.02,5.14,6841.47,1,13,81042.26,36088.78
T085502,2025-01-01,P0278,Fashion,13729.51,13.07,16591.67,1,38,521721.38,159617.86
T050472,2025-01-01,P0243,Sports,2671.45,5.86,3107.31,0,7,18700.15,3463.39
T050469,2025-01-01,P0387,Home & Kitchen,9459.54,12.85,10050.48,1,13,122974.02,13639.21
T018078,2025-01-01,P0233,Beauty,20407.32,1.69,20261.04,0,23,469368.36,218525.53
T028318,2025-01-01,P0268,Fashion,578.18,0.46,572.18,0,3,1734.54,516.09
T014901,2025-01-01,P0060,Home & Kitchen,17069.84,1.7,16834.54,0,18,307257.12,149902.38
T025680,2025-01-01,P0297,Fashion,7423.32,19.97,8981.45,1,21,155889.72,58230.27
T065615,2025-01-01,P0395,Home & Kitchen,11103.28,6.45,12956.12,0,16,177652.48,57424.16
T071869,2025-01-01,P0239,Fashion,12077.35,4.91,13371.6,0,13,157005.55,73821.8
T097181,2025-01-01,P0350,Beauty,3700.77,2.1,3768.49,0,1,3700.77,761.95
T092235,2025-01-01,P0331,Home & Kitchen,10283.58,0.39,10701.15,0,8,82268.64,29022.08
T041615,2025-01-01,P0480,Beauty,14115.4,0.4,15437.27,0,12,169384.8,81725.4
T028288,2025-01-01,P0114,Fashion,12509.83,0.32,13470.01,0,10,125098.3,36568.5
T096076,2025-01-01,P0417,Home & Kitchen,5041.71,7.17,5051.75,0,11,55458.81,9814.31
T043218,2025-01-01,P0109,Electronics,23064.65,4.42,24356.55,0,13,299840.45,143938.73
T013547,2025-01-01,P0053,Sports,3637.64,24.19,4565.53,1,18,65477.52,21249.0
T098947,2025-01-01,P0428,Sports,10381.1,3.62,10963.22,0,8,83048.8,34478.08
T041889,2025-01-01,P0493,Home & Kitchen,5479.99,1.41,5496.5,0,6,32879.94,13352.46
T077749,2025-01-01,P0452,Beauty,18063.42,19.57,24682.58,1,39,704473.38,240062.94
T067388,2025-01-01,P0100,Electronics,10562.6,6.66,10461.28,0,8,84500.8,22455.92
T022586,2025-01-01,P0380,Home & Kitchen,14215.89,7.28,15071.41,0,17,241670.13,61034.25
T073714,2025-01-01,P0098,Home & Kitchen,12591.51,0.37,13858.39,0,14,176281.14,47751.06
T067436,2025-01-01,P0462,Fashion,13718.94,2.78,14253.93,0,7,96032.58,42127.54
T031843,2025-01-01,P0401,Electronics,14156.97,3.61,13890.94,0,12,169883.64,56291.04
T033177,2025-01-01,P0280,Fashion,14834.01,9.83,17270.86,1,16,237344.16,88240.32
T073752,2025-01-01,P0281,Sports,15532.09,0.28,15490.16,0,7,108724.63,29040.9
T088117,2025-01-01,P0451,Fashion,14924.13,9.97,16228.29,1,17,253710.21,118328.84
T022401,2025-01-01,P0112,Electronics,5665.06,20.82,7177.89,1,14,79310.84,23865.24
T056031,2025-01-01,P0447,Sports,6783.55,6.33,7415.27,0,10,67835.5,18560.2
T043176,2025-01-01,P0471,Electronics,11747.37,6.25,12765.95,0,20,234947.4,93364.4
T094647,2025-01-01,P0083,Home & Kitchen,2121.43,0.2,2295.52,0,6,12728.58,5469.48
T062415,2025-01-01,P0398,Home & Kitchen,22614.35,3.06,23999.98,0,18,407058.3,204704.82
T028272,2025-01-01,P0184,Sports,12245.12,4.07,12062.89,0,13,159186.56,27853.28
T038603,2025-01-01,P0027,Electronics,18070.17,2.05,18726.63,0,14,252982.38,101268.58
T036147,2025-01-01,P0325,Sports,15757.9,3.41,16233.86,0,21,330915.9,141363.81
T004955,2025-01-01,P0281,Sports,14431.82,7.35,15755.09,0,14,202045.48,42678.02
T057443,2025-01-01,P0295,Electronics,1449.16,22.68,1929.02,1,8,11593.28,3050.64
T011951,2025-01-01,P0014,Electronics,7231.85,21.88,10169.93,1,22,159100.7,6869.72
T059314,2025-01-01,P0044,Sports,11039.34,1.73,10918.42,0,11,121432.74,36652.99
T041381,2025-01-01,P0175,Fashion,11550.59,10.06,12709.32,1,28,323416.52,122206.28
T002486,2025-01-01,P0262,Sports,3585.42,18.03,4532.3,1,15,53781.3,15386.55
T041344,2025-01-01,P0054,Sports,2349.13,4.72,2514.5,0,9,21142.17,8929.71
T057474,2025-01-01,P0203,Electronics,15009.1,6.13,16734.21,0,17,255154.7,71554.7
T098788,2025-01-01,P0176,Electronics,14223.47,7.2,15800.91,0,15,213352.05,36453.0
T084817,2025-01-01,P0200,Fashion,9787.34,14.98,11126.64,1,24,234896.16,83014.56
T009834,2025-01-01,P0234,Beauty,8632.97,15.17,10181.72,1,12,103595.64,19782.48
T018576,2025-01-01,P0112,Electronics,6730.36,5.93,6717.97,1,11,74033.96,30469.56
T067818,2025-01-01,P0460,Electronics,9219.8,2.15,8494.34,0,8,73758.4,33421.36
T099503,2025-01-01,P0492,Beauty,16475.47,7.87,16984.52,0,16,263607.52,81232.64
T098289,2025-01-01,P0190,Electronics,1305.18,6.2,1447.67,0,2,2610.36,1150.84
T053127,2025-01-01,P0402,Sports,11172.64,6.46,11126.05,0,6,67035.84,22255.32
T034400,2025-01-01,P0402,Sports,11204.31,6.19,11066.93,1,10,112043.1,37408.9
T021648,2025-01-01,P0229,Sports,15436.58,4.05,17662.49,0,13,200675.54,45972.16
T081508,2025-01-01,P0474,Sports,9765.3,7.39,9956.12,0,11,107418.3,20190.06
T003657,2025-01-01,P0082,Beauty,1970.86,3.37,1907.21,0,3,5912.58,2347.32
T022033,2025-01-01,P0434,Electronics,15183.67,4.54,14962.22,0,14,212571.38,70705.32
T050302,2025-01-01,P0457,Electronics,18079.71,5.12,20641.16,0,24,433913.04,191964.72
T081206,2025-01-01,P0311,Home & Kitchen,4285.85,4.67,4595.59,0,3,12857.55,3882.66
T060752,2025-01-01,P0461,Electronics,8335.78,15.38,9522.97,1,14,116700.92,13916.98
T088981,2025-01-01,P0343,Electronics,3269.43,6.2,3638.31,0,7,22886.01,5596.92
T066524,2025-01-01,P0212,Fashion,6996.88,4.46,8051.23,0,10,69968.8,35032.6
T038702,2025-01-01,P0430,Electronics,6195.49,4.08,6473.05,0,8,49563.92,9418.64
T045573,2025-01-01,P0262,Sports,4301.58,1.65,4726.93,0,2,8603.16,3483.86
T094907,2025-01-01,P0404,Fashion,15174.02,3.41,15755.06,0,19,288306.38,135705.98
T074128,2025-01-01,P0072,Electronics,17010.57,2.46,16858.41,0,17,289179.69,94083.27
T000373,2025-01-01,P0051,Sports,7683.32,1.71,8324.13,0,13,99883.16,42159.26
T071562,2025-01-01,P0355,Electronics,7322.76,7.6,7264.05,0,3,21968.28,5861.31
T064126,2025-01-01,P0257,Sports,18137.63,4.56,20875.1,0,19,344614.97,136910.58
T038843,2025-01-01,P0148,Beauty,778.15,1.63,802.38,0,1,778.15,367.17
T090899,2025-01-01,P0119,Sports,13263.37,13.2,16214.15,1,19,252004.03,80676.09
T008751,2025-01-01,P0293,Fashion,12837.52,7.36,12920.47,0,8,102700.16,44664.72
